"StartDate","EndDate","IPAddress","duration","RecordedDate","LocationLatitude","LocationLongitude","UserLanguage","hb_1","hb_2","hb_3","hb_4","nat_1","nat_2r","nat_3","nat_4","nat_5","diseaseLikeli_1","diseaseLikeli_2","diseaseLikeli_3","check_3","diseaseSevere_1","diseaseSevere_2","diseaseSevere_3","diseaseSevere_4","diseaseSevere_5r","vaccEff_1","vaccEff_2r","vaccEff_3r","vaccEff_4","vaccDanger_1","vaccDanger_2","vaccDanger_3","vaccDanger_4r","medSkept_1","medSkept_2r","medSkept_3","medSkept_4","medSkept_5","medSkept_6","vaccIntent_1r","vaccIntent_2","vaccIntent_3r","vaccIntent_4","vaccIntent_5r","parDuty_1","parDuty_2","parDuty_3","parDuty_4","check_5","parExpert_1","parExpert_2","parExpert_3","parExpert_4","parExpert_5","immCap_1","immCap_2","immCap_3r","immCap_4","immSymptoms_1","immSymptoms_2","immSympt_3r","immSympt_4r","immWeak_1","immWeak_2","immWeak_3r","immWeak_4r","immWeak_5","immStrain_1","immStrain_2r","immPassive_1","immPassive_2r","immPassive_3","sex","age","educ","comments"
"6/14/17 17:01","6/14/17 17:04","9b015b7761b81638",165,"6/14/17 17:04",31.26,-85.41,"EN",5,5,4,5,5,4,3,5,5,5,5,5,3,5,5,4,3,6,6,5,4,4,5,6,5,4,3,4,3,7,5,6,4,4,5,4,3,5,3,3,5,5,5,5,4,6,6,4,5,5,4,4,3,6,5,6,4,5,3,5,5,3,4,4,4,1,25,4,"none "
"6/14/17 17:05","6/14/17 17:09","0efb4c2d02fefc65",265,"6/14/17 17:09",32.7,-97.39,"EN",3,4,4,4,4,3,3,4,5,5,4,4,3,3,3,3,3,3,3,3,4,3,5,4,4,4,3,3,5,3,4,4,3,4,4,4,4,1,3,1,3,6,2,2,2,2,3,3,3,3,4,3,4,3,3,3,3,4,3,4,3,3,4,3,3,1,24,2,"No comments"
"6/14/17 17:01","6/14/17 17:09","be8b7462b80464b8",484,"6/14/17 17:09",39.93,-104.96,"EN",3,4,3,3,6,3,6,3,4,6,6,6,3,3,6,3,3,5,3,6,6,2,5,3,6,2,5,2,6,6,5,3,6,2,5,2,6,2,3,3,5,5,2,5,3,5,5,6,2,2,5,6,3,2,2,3,6,2,5,3,3,2,5,2,2,1,55,4,"none"
"6/14/17 17:07","6/14/17 17:10","36d073cd5343f899",192,"6/14/17 17:10",42.22,-83.6,"EN",7,7,7,7,7,1,7,7,4,7,7,7,3,1,3,1,1,7,1,5,7,1,7,7,7,1,3,2,7,7,7,3,7,1,7,1,7,1,1,1,1,5,2,7,1,5,7,7,1,3,7,7,4,1,1,5,2,1,3,4,4,4,4,1,1,0,30,4,""
"6/14/17 17:05","6/14/17 17:10","906baebf5779ef5d",265,"6/14/17 17:10",41.9,-88.21,"EN",3,6,6,6,6,3,6,6,6,6,6,5,3,3,6,6,2,6,2,5,6,2,6,5,6,2,2,2,6,6,5,3,6,2,6,2,6,3,5,2,5,5,3,5,2,6,6,6,5,2,6,6,6,2,2,3,5,2,5,3,6,3,6,6,2,1,34,2,"No."
"6/14/17 17:02","6/14/17 17:15","cf3d71c2e1a4f8ff",784,"6/14/17 17:15",38.58,-76.9,"EN",3,4,4,4,6,1,4,1,6,5,6,5,3,3,3,2,4,4,2,4,6,3,6,4,4,2,4,2,7,6,5,3,6,1,5,1,7,3,5,3,4,5,5,5,1,4,7,3,3,3,6,6,3,2,2,2,4,3,5,1,3,2,6,4,1,1,28,3,""
"6/14/17 17:14","6/14/17 17:19","2697fdbd6a5e6c03",321,"6/14/17 17:19",25.6,-80.33,"EN",2,4,3,4,5,2,5,2,7,6,5,6,3,2,2,4,2,7,2,4,6,2,7,4,6,2,3,2,7,7,5,1,6,2,5,4,6,1,1,2,3,5,1,3,2,5,7,5,5,3,6,6,6,2,2,3,5,3,5,2,3,2,5,4,2,1,39,3,NA
"6/14/17 17:14","6/14/17 17:21","d37b81ec1331fbf1",433,"6/14/17 17:21",30.16,-81.63,"EN",3,6,3,6,6,1,6,7,6,7,7,6,3,1,1,5,4,5,2,7,7,1,7,5,6,1,4,2,7,6,6,2,7,1,7,1,7,2,2,2,2,5,6,6,4,5,5,7,2,2,7,7,6,1,1,2,5,1,4,2,6,2,6,2,2,1,29,4,"no"
"6/14/17 17:33","6/14/17 17:37","31a26f06ecc015cd",237,"6/14/17 17:37",41.97,-87.75,"EN",7,7,7,7,7,1,7,7,7,7,7,7,3,1,1,1,1,7,1,7,7,1,7,7,7,1,1,1,7,7,7,7,7,1,7,1,7,1,1,1,1,5,7,7,1,7,7,7,4,1,7,7,7,1,1,1,7,2,7,1,1,1,2,1,1,1,22,4,""
"6/15/17 7:08","6/15/17 7:10","cf6ee258330aa3ea",141,"6/15/17 7:10",40.79,-74.02,"EN",4,5,3,5,5,5,3,3,4,4,3,5,3,4,3,5,4,5,7,6,5,4,4,5,3,2,2,3,3,5,5,4,5,3,5,4,5,4,5,5,6,5,3,2,5,5,3,5,3,3,4,5,3,2,5,5,5,3,4,3,4,5,4,3,5,1,33,6,""
"6/15/17 7:07","6/15/17 7:11","0ba580a6f1b4bd61",235,"6/15/17 7:11",28.39,-81.45,"EN",2,3,5,3,5,2,5,6,7,5,5,1,3,2,2,3,1,6,3,1,6,3,7,5,5,2,1,3,6,5,3,3,6,1,5,2,7,2,3,1,2,5,1,3,4,2,7,6,3,3,5,3,2,2,3,1,2,1,5,3,5,1,3,5,3,1,38,3,""
"6/15/17 7:07","6/15/17 7:11","2e470cfe9cb5baa1",239,"6/15/17 7:11",38.82,-121.28,"EN",4,7,4,7,4,3,4,7,6,7,6,7,3,3,2,3,3,7,4,6,7,2,7,4,5,1,3,2,6,3,4,4,7,1,5,1,7,3,3,2,1,5,6,7,4,5,7,6,4,3,6,7,4,1,1,1,6,3,7,2,7,3,5,2,3,1,21,3,""
"6/15/17 7:08","6/15/17 7:11","af5b349f77330a45",197,"6/15/17 7:11",37.79,-85.48,"EN",5,5,3,6,3,1,5,5,5,7,7,7,3,1,2,1,4,7,2,6,6,2,7,6,6,1,3,2,6,6,5,1,7,1,6,2,7,1,3,1,2,5,1,1,2,5,5,6,3,1,7,5,1,3,3,1,2,3,5,1,7,1,3,1,1,0,22,4,""
"6/15/17 7:07","6/15/17 7:12","821c880dfc6f1491",267,"6/15/17 7:12",41.31,-105.59,"EN",6,7,5,6,7,2,6,7,7,7,7,7,3,1,3,2,2,7,2,7,7,1,7,5,7,1,4,1,7,7,5,4,7,1,6,1,7,3,6,1,2,5,4,7,3,7,7,7,3,7,7,6,3,1,2,2,5,4,4,3,7,2,5,4,1,1,23,4,""
"6/15/17 7:07","6/15/17 7:12","0b0c397d0b9d04ed",309,"6/15/17 7:12",39.97,-75.18,"EN",3,7,7,7,4,3,7,7,7,7,7,7,3,1,1,1,1,7,1,6,7,1,7,7,7,1,4,1,7,7,1,7,7,1,7,1,7,1,7,1,1,5,7,7,4,7,7,7,7,1,7,7,1,3,1,2,3,2,7,1,3,2,4,1,1,1,27,4,""
"6/15/17 7:07","6/15/17 7:13","ed08776cfa2af1e0",320,"6/15/17 7:13",42.38,-123.4,"EN",1,2,4,4,1,4,2,1,4,5,7,4,3,4,2,6,6,6,3,4,6,4,2,1,6,4,1,7,4,2,6,1,4,4,2,3,4,7,5,7,6,5,5,6,3,3,7,4,3,2,6,7,4,1,1,1,3,2,7,2,4,4,4,5,1,1,26,4,""
"6/15/17 7:07","6/15/17 7:13","72dbb025a157c08f",341,"6/15/17 7:13",41.74,-89.7,"EN",3,6,4,4,6,2,6,7,6,6,7,6,3,4,4,4,4,6,2,6,7,2,7,6,4,2,6,2,7,6,6,5,7,1,5,1,7,4,4,2,4,5,4,4,2,6,5,4,5,4,6,6,4,2,2,3,4,4,7,2,5,4,4,3,2,1,30,4,""
"6/15/17 7:08","6/15/17 7:13","e011401a345cc0d1",332,"6/15/17 7:13",28.12,-82.35,"EN",7,6,7,7,7,1,7,7,7,6,6,6,3,4,2,3,4,6,1,6,7,1,7,2,6,1,4,2,7,6,6,3,7,1,7,1,7,6,6,2,3,5,6,3,6,6,7,7,7,1,7,6,6,2,2,2,7,1,3,2,7,3,7,2,1,1,22,4,""
"6/15/17 7:08","6/15/17 7:13","3189b39a6853a66f",323,"6/15/17 7:13",34.37,-117.32,"EN",3,2,6,2,7,3,5,7,7,7,7,7,3,1,1,1,4,7,1,7,7,1,7,7,4,1,2,3,7,2,5,1,7,1,7,1,7,3,3,3,6,5,7,3,2,3,7,6,6,2,7,6,6,1,1,1,7,7,7,2,3,3,6,3,1,1,27,4,""
"6/15/17 7:08","6/15/17 7:14","89505fb71a9199fd",358,"6/15/17 7:14",43.69,-70.29,"EN",7,5,4,4,7,2,4,7,6,6,6,5,3,1,1,3,4,5,1,4,7,1,7,3,6,1,7,2,4,5,7,4,7,1,7,1,7,2,4,1,4,5,5,7,6,7,7,6,2,4,3,4,2,3,4,1,4,5,6,2,4,2,6,4,4,0,24,4,""
"6/15/17 7:09","6/15/17 7:14","de0d9238f24af655",304,"6/15/17 7:14",41.04,-73.81,"EN",4,6,3,5,3,1,7,7,7,6,5,3,3,1,1,1,1,6,1,5,4,1,2,2,2,5,1,3,5,6,4,2,7,1,4,2,7,2,6,1,7,5,4,2,2,6,3,3,4,4,7,7,2,2,1,5,2,1,2,7,5,3,6,4,1,1,33,4,"no"
"6/15/17 7:10","6/15/17 7:14","beee2500ca9f2d0e",264,"6/15/17 7:14",33.45,-81.69,"EN",4,3,4,4,6,3,5,5,5,5,1,3,3,6,5,7,4,1,3,1,7,3,1,7,6,1,6,4,4,3,1,4,3,4,7,1,1,4,4,6,6,5,1,7,2,1,7,6,4,3,5,1,6,1,7,4,5,2,3,5,5,4,7,3,6,1,25,2,""
"6/15/17 7:08","6/15/17 7:14","c8c2739ee26c2a8e",359,"6/15/17 7:14",43.37,-124.15,"EN",2,7,2,7,7,1,6,7,6,7,7,7,3,2,3,2,3,7,1,5,7,1,7,6,6,1,1,1,6,7,7,5,7,1,7,1,7,1,1,1,1,5,5,3,2,6,6,7,4,3,7,6,6,2,1,2,3,3,7,3,7,1,2,4,1,0,42,3,""
"6/15/17 7:07","6/15/17 7:14","0a1e9ec9005e3363",398,"6/15/17 7:14",26.82,-80.14,"EN",4,4,3,3,3,3,4,6,6,6,7,6,3,3,4,4,4,6,3,5,6,2,7,4,4,2,1,3,6,4,5,4,6,2,4,2,6,2,4,2,5,5,4,5,3,5,6,5,5,3,4,6,5,4,5,2,4,3,4,4,5,2,5,3,2,0,24,3,""
"6/15/17 7:07","6/15/17 7:14","793ee9b205c3d3eb",405,"6/15/17 7:14",40.64,-79.94,"EN",2,4,4,4,4,2,6,4,6,5,5,6,3,3,4,4,3,6,3,4,5,2,6,6,6,2,3,4,2,4,4,3,6,2,6,2,6,3,4,2,3,5,4,4,3,4,5,6,3,2,5,3,3,4,4,3,3,4,5,5,6,2,4,3,2,1,24,4,""
"6/15/17 7:08","6/15/17 7:14","bf1c7a84d2c6c074",355,"6/15/17 7:14",35.88,-80.9,"EN",4,5,4,6,6,2,6,6,6,7,6,6,3,2,3,4,2,7,1,6,7,2,7,6,6,2,4,2,6,4,4,4,7,1,6,1,7,3,4,1,2,5,5,4,4,6,6,7,5,2,7,7,4,4,2,4,4,4,5,2,7,1,3,6,2,0,23,4,""
